SPRAT ID,Scientific Name,Common Name,URL,Percentage of the species modelled likely and known distribution within fire affected areas,Type,EPBC Act listed Threatened Status,EPBC Act listed Migratory Status,Range states and territories
217,Potorous longipes,Long-footed Potoroo,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=217,50 to <80%,Mammal,Endangered,,"NSW, Vic"
19455,Prasophyllum fuscum,"Tawny Leek-orchid, Slaty Leek-orchid",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=19455,50 to <80%,Plant,Vulnerable,,NSW
13804,Prasophyllum morganii,"Mignonette Leek-orchid, Cobungra Leek-orchid, Dense Leek-orchid",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=13804,50 to <80%,Plant,Vulnerable,,Vic
86868,Pseudococcus markharveyi,Banksia montana mealybug,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=86868,50 to <80%,Insect,Critically Endangered,,WA
98,Pseudomys oralis,"Hastings River Mouse, Koontoo",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=98,50 to <80%,Mammal,Endangered,,"NSW, Qld"
78990,Pultenaea elusa,Elusive Bush-pea,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=78990,50 to <80%,Plant,Endangered,,NSW
11887,Pultenaea glabra,"Smooth Bush-pea, Swamp Bush-pea",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=11887,50 to <80%,Plant,Vulnerable,,NSW
10271,Pultenaea villifera var. glabrescens,"Yellow Bush-pea, Splendid Bush-pea",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10271,50 to <80%,Plant,Vulnerable,,SA
87597,Tachyglossus aculeatus multiaculeatus,Kangaroo Island Echidna,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=87597,50 to <80%,Mammal,Endangered,,SA
64544,Triplarina nowraensis,Nowra Heath-myrtle,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64544,50 to <80%,Plant,Endangered,,NSW
20503,Tylophora woollsii,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=20503,50 to <80%,Plant,Endangered,,"NSW, Qld"
64545,Wollemia nobilis,Wollemi Pine,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64545,50 to <80%,Plant,Critically Endangered,,NSW
64547,Zieria lasiocaulis,Willi Willi Zieria,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64547,50 to <80%,Plant,Endangered,,NSW
4634,Zieria murphyi,Velvet Zieria,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=4634,50 to <80%,Plant,Vulnerable,,NSW
67121,Zoothera lunulata halmaturina,Bassian Thrush (South Australian),http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=67121,50 to <80%,Bird,Vulnerable,,SA
10711,Acacia macnuttiana,McNutt's Wattle,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10711,30 to <50%,Plant,Vulnerable,,NSW
55608,Acacia meiantha,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55608,30 to <50%,Plant,Endangered,,NSW
3983,Acrophyllum australe,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3983,30 to <50%,Plant,Vulnerable,,NSW
56088,Angophora robur,Sandstone Rough-barked Apple,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=56088,30 to <50%,Plant,Vulnerable,,NSW
14004,Asperula asthenes,Trailing Woodruff,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=14004,30 to <50%,Plant,Vulnerable,,NSW
82758,Banksia anatona,Cactus Dryandra,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82758,30 to <50%,Plant,Critically Endangered,,WA
8587,Bertya pinifolia,a shrub,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8587,30 to <50%,Plant,Vulnerable,,"NSW, Qld"
18598,Boronia granitica,Granite Boronia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=18598,30 to <50%,Plant,Endangered,,"NSW, Qld"
21632,Boronia keysii,Key's Boronia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=21632,30 to <50%,Plant,Vulnerable,,Qld
2119,Caladenia tessellata,"Thick-lipped Spider-orchid, Daddy Long-legs",http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=2119,30 to <50%,Plant,Vulnerable,,"NSW, Vic"
85098,Callistemon megalongensis,Megalong Valley Bottlebrush,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=85098,30 to <50%,Plant,Critically Endangered,,NSW
17820,Corokia whiteana,,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=17820,30 to <50%,Plant,Vulnerable,,NSW
7226,Correa calycina,Hindmarsh Correa,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=7226,30 to <50%,Plant,Vulnerable,,SA
19533,Cryptostylis hunteriana,Leafless Tongue-orchid,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=19533,30 to <50%,Plant,Vulnerable,,"NSW, Qld, Vic"
12533,Cynanchum elegans,White-flowered Wax Plant,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=12533,30 to <50%,Plant,Endangered,,NSW
